Datum tenaamstelling,Brandstof omschrijving,Kenteken
1993-08-31,Benzine,609
1993-09-06,Benzine,610
1993-09-10,Benzine,611
1993-09-18,Benzine,612
1993-09-20,Benzine,613
1993-09-22,Benzine,614
1993-09-30,Benzine,615
1993-10-06,Benzine,616
1993-10-07,Diesel,70
1993-10-12,Diesel,72
1993-10-19,Benzine,617
1993-10-20,Benzine,618
1993-10-22,Benzine,619
1993-10-23,Benzine,620
1993-10-25,Benzine,621
1993-11-03,Benzine,622
1993-11-04,Diesel,73
1993-11-12,Benzine,623
1993-11-15,Benzine,624
1993-11-29,Diesel,74
1993-11-30,Benzine,625
1993-12-15,Diesel,75
1993-12-16,Benzine,626
1993-12-17,Benzine,627
1993-12-18,Diesel,76
1993-12-20,Diesel,77
1993-12-21,Benzine,628
1993-12-28,LPG,20
1993-12-28,Benzine,629
1993-12-31,Diesel,78
1994-01-06,Benzine,630
1994-01-10,Diesel,79
1994-01-12,Benzine,631
1994-01-14,Benzine,632
1994-01-21,Benzine,633
1994-01-25,Benzine,634
1994-01-25,Diesel,80
1994-01-26,Benzine,636
1994-01-26,Diesel,81
1994-01-29,Benzine,637
1994-01-31,Benzine,639
1994-02-01,Benzine,640
1994-02-02,Benzine,641
1994-02-07,Diesel,82
1994-02-07,Benzine,643
1994-02-11,Diesel,83
1994-02-21,Benzine,644
1994-02-25,Benzine,645
1994-02-28,Benzine,646
1994-03-01,Benzine,647
1994-03-03,Benzine,648
1994-03-04,Benzine,649
1994-03-10,Benzine,650
1994-03-11,LPG,21
1994-03-14,Benzine,652
1994-03-15,Benzine,653
1994-03-18,Benzine,654
1994-03-21,Benzine,655
1994-03-22,Benzine,657
1994-03-24,Benzine,658
1994-03-24,Diesel,84
1994-03-25,Benzine,659
1994-03-29,Benzine,661
1994-03-31,Benzine,664
1994-04-01,Benzine,665
1994-04-05,Benzine,666
1994-04-14,Diesel,85
1994-04-15,Benzine,667
1994-04-18,Diesel,86
1994-04-19,Benzine,669
1994-04-23,Benzine,670
1994-04-27,Benzine,671
1994-04-29,Diesel,87
1994-04-29,Benzine,672
1994-05-02,Benzine,673
1994-05-04,Benzine,676
1994-05-06,Benzine,678
1994-05-09,Benzine,679
1994-05-11,Benzine,680
1994-05-14,Diesel,88
1994-05-16,Benzine,681
1994-05-18,Benzine,683
1994-05-19,Benzine,686
1994-05-20,Benzine,688
1994-05-25,Benzine,689
1994-05-26,Diesel,89
1994-05-26,Benzine,690
1994-05-27,LPG,22
1994-05-31,Benzine,691
1994-06-02,Benzine,692
1994-06-06,Benzine,694
1994-06-08,Benzine,696
1994-06-14,Benzine,698
1994-06-16,Diesel,90
1994-06-27,Benzine,700
1994-07-01,Benzine,701
1994-07-06,Diesel,91
1994-07-07,Benzine,703
1994-07-08,Benzine,704
1994-07-13,Benzine,705
1994-07-15,Benzine,706
1994-07-15,Diesel,92
1994-07-18,Benzine,707
1994-07-20,Benzine,708
1994-07-21,Benzine,709
1994-07-22,Benzine,710
1994-07-23,Diesel,93
1994-07-25,Benzine,711
1994-07-28,Diesel,94
1994-07-28,Benzine,712
1994-07-29,Benzine,714
1994-07-29,Diesel,96
1994-08-02,Benzine,715
1994-08-08,Benzine,716
1994-08-11,LPG,23
1994-08-11,Benzine,717
1994-08-12,Benzine,718
1994-08-16,Benzine,719
1994-08-18,Benzine,720
1994-08-19,Benzine,721
1994-08-22,Benzine,722
1994-08-24,LPG,24
1994-08-25,Benzine,723
1994-08-30,Benzine,724
1994-09-02,Benzine,726
1994-09-05,Benzine,727
1994-09-15,Benzine,728
1994-09-17,Diesel,97
1994-09-19,Benzine,729
1994-09-21,Diesel,98
1994-09-21,Benzine,730
1994-09-24,Benzine,731
1994-09-26,Benzine,732
1994-09-27,Benzine,733
1994-09-28,Diesel,99
1994-09-30,Benzine,734
1994-10-07,Benzine,735
1994-10-11,Benzine,736
1994-10-15,Benzine,737
1994-10-21,Diesel,100
1994-10-21,LPG,25
1994-10-26,Benzine,738
1994-10-28,Benzine,739
1994-10-29,Benzine,740
1994-11-02,Benzine,741
1994-11-07,LPG,26
1994-11-07,Diesel,101
1994-11-08,Benzine,743
1994-11-09,LPG,27
1994-11-09,Benzine,744
1994-11-10,Diesel,102
1994-11-11,Benzine,745
1994-11-12,Diesel,103
1994-11-14,Benzine,746
1994-11-15,Diesel,105
1994-11-16,Benzine,748
1994-11-16,Diesel,109
1994-11-17,Benzine,753
1994-11-17,Diesel,110
1994-11-22,Diesel,112
1994-11-22,Benzine,754
1994-11-24,Benzine,755
1994-11-25,Benzine,756
1994-11-30,Benzine,758
1994-12-06,Diesel,113
1994-12-09,Benzine,759
1994-12-10,Benzine,760
1994-12-15,Benzine,762
1994-12-16,Benzine,763
1994-12-16,Diesel,114
1994-12-17,Benzine,764
1994-12-19,Benzine,765
1994-12-20,Benzine,767
1994-12-20,Diesel,115
1994-12-22,Benzine,768
1994-12-27,Benzine,769
1994-12-28,Benzine,773
1994-12-29,Benzine,774
1994-12-30,Benzine,775
1995-01-02,Benzine,776
1995-01-03,Diesel,116
1995-01-05,Benzine,778
1995-01-06,Benzine,780
1995-01-06,Diesel,117
1995-01-09,Benzine,781
1995-01-10,Benzine,782
1995-01-11,Benzine,784
1995-01-11,Diesel,118
1995-01-12,Benzine,785
1995-01-12,Diesel,119
1995-01-17,Benzine,786
1995-01-21,Benzine,787
1995-01-24,Benzine,788
1995-01-25,Benzine,790
1995-01-25,LPG,28
1995-01-25,Diesel,121
1995-01-27,Diesel,122
1995-01-27,Benzine,792
1995-01-30,Benzine,793
1995-01-31,Diesel,123
1995-02-02,Benzine,794
1995-02-03,Benzine,795
1995-02-06,LPG,29
1995-02-07,Benzine,796
1995-02-10,Benzine,797
1995-02-13,Diesel,126
1995-02-13,Benzine,798
1995-02-14,Benzine,799
1995-02-15,Benzine,800
1995-02-16,Diesel,127
1995-02-16,Benzine,801
1995-02-17,Diesel,128
1995-02-20,Diesel,129
1995-02-20,Benzine,802
1995-02-21,Benzine,804
1995-02-21,Diesel,131
1995-02-22,Benzine,805
1995-02-22,Diesel,132
1995-02-23,LPG,30
1995-02-24,Benzine,810
1995-02-24,Diesel,133
1995-02-27,LPG,31
1995-02-27,Benzine,812
1995-02-28,Benzine,815
1995-03-01,Benzine,817
1995-03-02,Benzine,818
1995-03-02,Diesel,134
1995-03-03,Benzine,819
1995-03-04,Benzine,820
1995-03-06,Benzine,821
1995-03-07,Benzine,823
1995-03-08,Benzine,824
1995-03-09,Benzine,827
1995-03-10,Benzine,828
1995-03-10,LPG,32
1995-03-13,LPG,33
1995-03-15,Diesel,135
1995-03-15,Benzine,829
1995-03-17,Benzine,831
1995-03-17,Diesel,136
1995-03-21,Diesel,137
1995-03-22,Diesel,138
1995-03-22,Benzine,832
1995-03-23,Benzine,833
1995-03-24,Benzine,836
1995-03-24,LPG,34
1995-03-24,Diesel,139
1995-03-25,Benzine,838
1995-03-28,LPG,35
1995-03-29,Benzine,840
1995-03-30,Diesel,140
1995-03-30,Benzine,844
1995-03-31,Benzine,852
1995-03-31,Diesel,142
1995-03-31,LPG,36
1995-04-03,Diesel,143
1995-04-03,Benzine,858
1995-04-04,Diesel,144
1995-04-04,LPG,37
1995-04-05,Diesel,145
1995-04-05,Benzine,863
1995-04-06,LPG,38
1995-04-06,Benzine,864
1995-04-07,Diesel,146
1995-04-07,Benzine,867
1995-04-08,Benzine,869
1995-04-10,Benzine,870
1995-04-12,Benzine,871
1995-04-13,Benzine,872
1995-04-14,Benzine,873
1995-04-18,Benzine,874
1995-04-19,Benzine,876
1995-04-20,Benzine,877
1995-04-20,Diesel,147
1995-04-24,Benzine,879
1995-04-26,Benzine,881
1995-04-27,Benzine,882
1995-04-28,Benzine,885
1995-05-01,Benzine,886
1995-05-01,Diesel,148
1995-05-03,Benzine,890
1995-05-04,Benzine,895
1995-05-08,Benzine,898
1995-05-10,Benzine,900
1995-05-11,Diesel,149
1995-05-12,Benzine,901
1995-05-15,Diesel,150
