Datum tenaamstelling,Brandstof omschrijving,Kenteken
2002-02-18,Benzine,3897
2002-02-19,Benzine,3901
2002-02-20,Diesel,548
2002-02-20,Benzine,3905
2002-02-21,Benzine,3907
2002-02-22,Benzine,3919
2002-02-23,Benzine,3922
2002-02-25,Benzine,3923
2002-02-25,Diesel,550
2002-02-26,Diesel,551
2002-02-26,Benzine,3932
2002-02-27,Benzine,3934
2002-02-28,Diesel,554
2002-02-28,Benzine,3942
2002-03-01,Benzine,3945
2002-03-02,Benzine,3949
2002-03-04,Diesel,555
2002-03-04,Benzine,3953
2002-03-05,Benzine,3959
2002-03-06,Diesel,556
2002-03-06,Benzine,3964
2002-03-07,Benzine,3966
2002-03-08,Benzine,3969
2002-03-11,Benzine,3971
2002-03-12,Benzine,3973
2002-03-13,Benzine,3977
2002-03-14,Benzine,3979
2002-03-15,Diesel,557
2002-03-15,Benzine,3989
2002-03-16,Benzine,3990
2002-03-18,Benzine,3992
2002-03-19,Benzine,3994
2002-03-20,Benzine,3996
2002-03-21,Benzine,4001
2002-03-22,Benzine,4009
2002-03-23,Benzine,4010
2002-03-25,Benzine,4012
2002-03-25,Diesel,558
2002-03-26,Benzine,4016
2002-03-27,Benzine,4017
2002-03-27,Diesel,559
2002-03-28,Diesel,562
2002-03-28,Benzine,4023
2002-03-29,Benzine,4038
2002-03-29,LPG,113
2002-03-30,Diesel,563
2002-04-02,Diesel,564
2002-04-02,Benzine,4040
2002-04-03,Benzine,4042
2002-04-04,Benzine,4047
2002-04-05,Benzine,4049
2002-04-05,Diesel,565
2002-04-06,Benzine,4051
2002-04-08,Benzine,4054
2002-04-09,Benzine,4057
2002-04-10,Benzine,4059
2002-04-11,Diesel,568
2002-04-11,Benzine,4062
2002-04-12,Diesel,569
2002-04-12,Benzine,4066
2002-04-12,LPG,114
2002-04-13,Benzine,4068
2002-04-15,Benzine,4070
2002-04-15,Diesel,571
2002-04-16,Diesel,572
2002-04-16,Benzine,4072
2002-04-17,Benzine,4077
2002-04-18,Benzine,4078
2002-04-19,Benzine,4088
2002-04-19,Diesel,573
2002-04-20,Diesel,574
2002-04-22,Benzine,4090
2002-04-22,Diesel,575
2002-04-23,Benzine,4091
2002-04-23,Diesel,576
2002-04-24,Benzine,4093
2002-04-25,Diesel,577
2002-04-25,Benzine,4101
2002-04-26,Benzine,4111
2002-04-26,Diesel,580
2002-04-27,Benzine,4112
2002-04-29,Benzine,4116
2002-05-01,Benzine,4121
2002-05-02,Benzine,4124
2002-05-03,Benzine,4130
2002-05-03,Diesel,581
2002-05-04,Benzine,4132
2002-05-06,Diesel,583
2002-05-06,Benzine,4134
2002-05-07,Benzine,4136
2002-05-08,Benzine,4139
2002-05-10,Benzine,4147
2002-05-11,Benzine,4152
2002-05-14,Benzine,4155
2002-05-14,Diesel,584
2002-05-15,Benzine,4162
2002-05-16,Benzine,4170
2002-05-17,Diesel,586
2002-05-17,Benzine,4177
2002-05-21,Diesel,587
2002-05-21,Benzine,4181
2002-05-22,Benzine,4182
2002-05-22,Diesel,589
2002-05-23,Benzine,4184
2002-05-24,Benzine,4192
2002-05-24,Diesel,590
2002-05-25,Benzine,4194
2002-05-27,Benzine,4199
2002-05-28,Benzine,4201
2002-05-28,Diesel,591
2002-05-29,Benzine,4205
2002-05-30,Benzine,4209
2002-05-31,Benzine,4221
2002-05-31,Diesel,592
2002-06-01,Benzine,4223
2002-06-03,Diesel,593
2002-06-03,Benzine,4225
2002-06-04,Diesel,594
2002-06-04,Benzine,4229
2002-06-05,Diesel,596
2002-06-05,Benzine,4233
2002-06-06,Benzine,4247
2002-06-06,Diesel,597
2002-06-07,Benzine,4252
2002-06-07,Diesel,599
2002-06-08,Benzine,4255
2002-06-10,Benzine,4257
2002-06-11,Benzine,4261
2002-06-12,Benzine,4264
2002-06-13,Benzine,4271
2002-06-13,Diesel,600
2002-06-14,Diesel,603
2002-06-14,Benzine,4278
2002-06-17,Benzine,4279
2002-06-18,Benzine,4280
2002-06-19,Benzine,4283
2002-06-20,Benzine,4287
2002-06-21,Benzine,4292
2002-06-21,Diesel,605
2002-06-22,Diesel,606
2002-06-24,Diesel,607
2002-06-24,Benzine,4294
2002-06-24,LPG,115
2002-06-25,Diesel,608
2002-06-25,Benzine,4298
2002-06-25,LPG,116
2002-06-26,Benzine,4306
2002-06-27,Diesel,609
2002-06-27,Benzine,4310
2002-06-28,Benzine,4319
2002-06-29,Benzine,4320
2002-07-01,Benzine,4324
2002-07-02,Diesel,610
2002-07-02,Benzine,4326
2002-07-03,Diesel,611
2002-07-03,Benzine,4327
2002-07-04,Diesel,613
2002-07-04,Benzine,4332
2002-07-05,Benzine,4340
2002-07-05,Diesel,614
2002-07-06,Benzine,4341
2002-07-08,Diesel,615
2002-07-08,Benzine,4342
2002-07-09,Diesel,616
2002-07-09,Benzine,4347
2002-07-10,Benzine,4351
2002-07-11,Diesel,617
2002-07-11,Benzine,4354
2002-07-12,Benzine,4362
2002-07-12,Diesel,618
2002-07-13,Benzine,4367
2002-07-15,Benzine,4370
2002-07-16,Benzine,4373
2002-07-16,Diesel,619
2002-07-17,Benzine,4379
2002-07-18,Benzine,4383
2002-07-18,Diesel,620
2002-07-19,Benzine,4393
2002-07-20,Benzine,4395
2002-07-22,Benzine,4397
2002-07-23,Diesel,621
2002-07-23,Benzine,4399
2002-07-24,Diesel,623
2002-07-25,Diesel,624
2002-07-25,Benzine,4406
2002-07-26,Diesel,626
2002-07-26,Benzine,4412
2002-07-27,Benzine,4413
2002-07-29,Diesel,628
2002-07-29,Benzine,4414
2002-07-30,Diesel,630
2002-07-30,Benzine,4419
