Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2017-12-22,1147,1147,1147,1147,1147
2017-12-23,523,523,523,523,523
2017-12-24,17,17,17,17,17
2017-12-25,2,2,2,2,2
2017-12-26,19,19,19,19,19
2017-12-27,709,709,709,709,708
2017-12-28,883,883,883,883,883
2017-12-29,1187,1187,1187,1187,1186
2017-12-30,535,535,535,535,535
2017-12-31,13,13,13,13,13
2018-01-01,10,10,10,10,10
2018-01-02,1502,1502,1502,1502,1502
2018-01-03,1201,1201,1201,1201,1201
2018-01-04,1312,1312,1312,1312,1312
2018-01-05,1852,1852,1852,1852,1851
2018-01-06,692,692,692,692,692
2018-01-07,20,20,20,20,20
2018-01-08,1082,1082,1082,1082,1082
2018-01-09,1014,1014,1014,1014,1014
2018-01-10,1047,1047,1047,1047,1047
2018-01-11,1144,1144,1144,1144,1144
2018-01-12,1679,1679,1679,1679,1679
2018-01-13,768,768,768,768,768
2018-01-14,30,30,30,30,30
2018-01-15,905,905,905,905,905
2018-01-16,852,852,852,852,852
2018-01-17,1080,1080,1080,1080,1080
2018-01-18,1046,1046,1046,1046,1045
2018-01-19,1586,1586,1586,1586,1586
2018-01-20,661,661,661,661,661
2018-01-21,18,18,18,18,18
2018-01-22,825,825,825,825,823
2018-01-23,762,762,762,762,762
2018-01-24,930,930,930,930,930
2018-01-25,1062,1062,1062,1062,1061
2018-01-26,1495,1495,1495,1495,1495
2018-01-27,626,626,626,626,626
2018-01-28,20,20,20,20,20
2018-01-29,797,797,797,797,795
2018-01-30,911,911,911,911,911
2018-01-31,1364,1364,1364,1364,1364
2018-02-01,1019,1019,1019,1019,1019
2018-02-02,1372,1372,1372,1372,1372
2018-02-03,636,636,636,636,636
2018-02-04,23,23,23,23,23
2018-02-05,827,827,827,827,824
2018-02-06,792,792,792,792,792
2018-02-07,872,872,872,872,872
2018-02-08,1100,1100,1100,1100,1099
2018-02-09,1520,1520,1520,1520,1520
2018-02-10,565,565,565,565,565
2018-02-11,16,16,16,16,16
2018-02-12,673,673,673,673,673
2018-02-13,622,622,622,622,622
2018-02-14,852,852,852,852,852
2018-02-15,1024,1024,1024,1024,1024
2018-02-16,1442,1442,1442,1442,1442
2018-02-17,667,667,667,667,667
2018-02-18,36,36,36,36,36
2018-02-19,795,795,795,795,795
2018-02-20,828,828,828,828,828
2018-02-21,939,939,939,939,939
2018-02-22,1094,1094,1094,1094,1094
2018-02-23,1433,1433,1433,1433,1433
2018-02-24,641,641,641,641,641
2018-02-25,18,18,18,18,18
2018-02-26,838,838,838,838,838
2018-02-27,947,947,947,947,947
2018-02-28,1506,1506,1506,1506,1506
2018-03-01,1104,1104,1104,1104,1104
2018-03-02,1192,1192,1192,1192,1192
2018-03-03,602,602,602,602,602
2018-03-04,25,25,25,25,25
2018-03-05,837,837,837,837,837
2018-03-06,819,819,819,819,819
2018-03-07,889,889,889,889,889
2018-03-08,1023,1023,1023,1023,1023
2018-03-09,1405,1405,1405,1405,1405
2018-03-10,576,576,576,576,576
2018-03-11,30,30,30,30,30
2018-03-12,803,803,803,803,803
2018-03-13,830,830,830,830,828
2018-03-14,848,848,848,848,848
2018-03-15,1089,1089,1089,1089,1089
2018-03-16,1460,1460,1460,1460,1460
2018-03-17,608,608,608,608,608
2018-03-18,27,27,27,27,27
2018-03-19,777,777,777,777,777
2018-03-20,786,786,786,786,786
2018-03-21,899,899,899,899,899
2018-03-22,1005,1005,1005,1005,1005
2018-03-23,1422,1422,1422,1422,1422
2018-03-24,606,606,606,606,604
2018-03-25,15,15,15,15,15
2018-03-26,736,736,736,736,735
2018-03-27,898,898,898,898,898
2018-03-28,1069,1069,1069,1069,1068
2018-03-29,1370,1370,1370,1370,1370
2018-03-30,2078,2078,2078,2078,2076
2018-03-31,610,610,610,610,610
2018-04-01,8,8,8,8,8
2018-04-02,68,68,68,68,68
2018-04-03,823,823,823,823,822
2018-04-04,892,892,892,892,892
2018-04-05,978,978,978,978,978
2018-04-06,1431,1431,1431,1431,1429
2018-04-07,612,612,612,612,612
2018-04-08,18,18,18,18,18
2018-04-09,748,748,748,748,747
2018-04-10,784,784,784,784,784
2018-04-11,909,909,909,909,908
2018-04-12,1056,1056,1056,1056,1056
2018-04-13,1447,1447,1447,1447,1447
2018-04-14,570,570,570,570,570
2018-04-15,25,25,25,25,25
2018-04-16,776,776,776,776,776
2018-04-17,735,735,735,735,735
2018-04-18,961,961,961,961,960
2018-04-19,1312,1312,1312,1312,1310
2018-04-20,1405,1405,1405,1405,1405
2018-04-21,543,543,543,543,543
2018-04-22,18,18,18,18,18
2018-04-23,870,870,870,870,869
2018-04-24,856,856,856,856,856
2018-04-25,1121,1121,1121,1121,1121
2018-04-26,1376,1376,1376,1376,1375
2018-04-27,57,57,57,57,57
2018-04-28,609,609,609,609,608
2018-04-29,17,17,17,17,17
2018-04-30,1259,1259,1259,1259,1259
2018-05-01,808,808,808,808,808
2018-05-02,852,852,852,852,852
2018-05-03,930,930,930,930,930
2018-05-04,1580,1580,1580,1580,1579
2018-05-05,512,512,512,512,512
2018-05-06,21,21,21,21,21
2018-05-07,795,795,795,795,795
2018-05-08,850,850,850,850,850
