Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2015-06-11,2,2,2,2,2
2015-06-13,1,1,1,1,1
2015-06-17,1,1,1,1,1
2015-06-18,26,26,26,26,26
2015-06-19,2,2,2,2,2
2015-06-22,3,3,3,3,3
2015-06-23,2,2,2,2,2
2015-06-24,3,3,3,3,3
2015-06-25,1,1,1,1,1
2015-06-26,2,2,2,2,2
2015-06-29,1,1,1,1,1
2015-06-30,1,1,1,1,1
2015-07-01,4,4,4,4,4
2015-07-03,3,3,3,3,3
2015-07-07,1,1,1,1,1
2015-07-08,1,1,1,1,1
2015-07-13,3,3,3,3,3
2015-07-14,2,2,2,2,2
2015-07-15,1,1,1,1,1
2015-07-16,3,3,3,3,3
2015-07-17,2,2,2,2,2
2015-07-18,1,1,1,1,1
2015-07-20,1,1,1,1,1
2015-07-21,2,2,2,2,2
2015-07-22,1,1,1,1,1
2015-07-23,7,7,7,7,7
2015-07-24,1,1,1,1,1
2015-07-28,2,2,2,2,2
2015-07-31,2,2,2,2,2
2015-08-05,1,1,1,1,1
2015-08-06,1,1,1,1,1
2015-08-07,1,1,1,1,1
2015-08-10,1,1,1,1,1
2015-08-11,1,1,1,1,1
2015-08-12,2,2,2,2,2
2015-08-13,15,15,15,15,15
2015-08-14,4,4,4,4,4
2015-08-17,3,3,3,3,3
2015-08-18,1,1,1,1,1
2015-08-20,1,1,1,1,1
2015-08-21,2,2,2,2,2
2015-08-24,2,2,2,2,2
2015-08-25,1,1,1,1,1
2015-08-26,1,1,1,1,1
2015-08-27,5,5,5,5,5
2015-08-28,8,8,8,8,8
2015-08-31,1,1,1,1,1
2015-09-01,4,4,4,4,4
2015-09-02,2,2,2,2,2
2015-09-04,1,1,1,1,1
2015-09-05,1,1,1,1,1
2015-09-14,1,1,1,1,1
2015-09-15,3,3,3,3,3
2015-09-16,1,1,1,1,1
2015-09-18,1,1,1,1,1
2015-09-21,2,2,2,2,2
2015-09-22,1,1,1,1,1
2015-09-23,1,1,1,1,1
2015-09-24,1,1,1,1,1
2015-09-25,6,6,6,6,6
2015-09-28,1,1,1,1,1
2015-09-29,2,2,2,2,2
2015-09-30,2,2,2,2,2
2015-10-01,22,22,22,22,22
2015-10-02,3,3,3,3,3
2015-10-03,2,2,2,2,2
2015-10-07,1,1,1,1,1
2015-10-08,1,1,1,1,1
2015-10-13,10,10,10,10,10
2015-10-15,1,1,1,1,1
2015-10-16,1,1,1,1,1
2015-10-19,4,4,4,4,4
2015-10-20,2,2,2,2,2
2015-10-21,1,1,1,1,1
2015-10-22,2,2,2,2,2
2015-10-23,22,22,22,22,22
